Speech_Text,Label
Hostile forces deploying nerve agents in sector 6.,Harmful
The robotics team won first place in state competition.,Non-Harmful
Security breach at nuclear facility; containment compromised.,Harmful
Community orchestra performance scheduled for Saturday.,Non-Harmful
Armed militants spotted near government buildings.,Harmful
The recycling program reduced landfill waste by 40%.,Non-Harmful
Suicide bomber approaching checkpoint; neutralize immediately.,Harmful
New bike-sharing program launches next week.,Non-Harmful
Cyber attack targeting power grid infrastructure.,Harmful
Local food bank receives major donation from businesses.,Non-Harmful
Unauthorized weapons testing in restricted area detected.,Harmful
The senior center offers new exercise classes.,Non-Harmful
Terrorist operatives infiltrated security perimeter.,Harmful
Public library expands digital resource collection.,Non-Harmful
Deadly toxins released in commercial district.,Harmful
Youth sports league registration begins Monday.,Non-Harmful
Enemy snipers confirmed in multiple locations.,Harmful
The tree planting initiative exceeded its goal.,Non-Harmful
Explosives smuggled into government building.,Harmful
Community workshop on financial literacy tonight.,Non-Harmful
Hostile drones targeting civilian population.,Harmful
The blood drive collected record donations.,Non-Harmful
Chemical attack imminent; don gas masks.,Harmful
New public art installation unveiled downtown.,Non-Harmful
Armed assault team breaching secure facility.,Harmful
Historical society hosts genealogy workshop.,Non-Harmful
Bioweapon deployment confirmed in sector 8.,Harmful
The watershed cleanup project starts tomorrow.,Non-Harmful
Active shooter situation at shopping center.,Harmful
Free dental screenings available next week.,Non-Harmful
Enemy forces targeting civilian infrastructure.,Harmful
Local businesses support education initiative.,Non-Harmful
Assassination plot discovered against officials.,Harmful
Community garden plots available for spring.,Non-Harmful
Cyber attack compromising classified data.,Harmful
The arts festival drew record attendance.,Non-Harmful
Explosive devices planted in multiple locations.,Harmful
New wheelchair accessibility improvements complete.,Non-Harmful
Hostile forces attacking medical facilities.,Harmful
The literacy program needs volunteer tutors.,Non-Harmful
Terror attack planned for public transport.,Harmful
Community cleanup day scheduled for Saturday.,Non-Harmful
Weapons cache found in abandoned building.,Harmful
The science camp registration opens Monday.,Non-Harmful
Enemy agents infiltrated security systems.,Harmful
Free flu shots available at health clinic.,Non-Harmful
Missile launch detected from hostile territory.,Harmful
The food festival celebrates local cuisine.,Non-Harmful
Armed insurgents targeting power stations.,Harmful
New playground equipment installed at park.,Non-Harmful
Chemical weapons convoy intercepted today.,Harmful
The art classes begin next month.,Non-Harmful
Terrorist cell planning mass casualty event.,Harmful
Free concert in the park this weekend.,Non-Harmful
Hostile forces deploying banned weapons.,Harmful
The farmers market opens for season.,Non-Harmful
Cyber attack targeting medical records.,Harmful
Community theater auditions next week.,Non-Harmful
Assassination attempt planned for summit.,Harmful
The recycling program needs volunteers.,Non-Harmful
Enemy combatants breaching defensive line.,Harmful
Public swimming pool opens for summer.,Non-Harmful
Explosive device found near school.,Harmful
The book club meets every Thursday.,Non-Harmful
Biological warfare agents in water system.,Harmful
New bike trail construction complete.,Non-Harmful
Armed robbery at downtown bank.,Harmful
The science fair projects impress judges.,Non-Harmful
Hostile aircraft violating restricted airspace.,Harmful
Community garden harvest celebration today.,Non-Harmful
Terror suspects spotted near stadium.,Harmful
The job training program starts Monday.,Non-Harmful
Cyber attack disrupting emergency services.,Harmful
Free health screenings this weekend.,Non-Harmful
Enemy forces targeting civilian areas.,Harmful
The art gallery opening tonight.,Non-Harmful
Weapons smugglers operating near border.,Harmful
Library story time every Wednesday.,Non-Harmful
Chemical attack warning in effect.,Harmful
The park cleanup was successful.,Non-Harmful
Armed militants near power plant.,Harmful
Community choir performs tonight.,Non-Harmful
Hostile forces deploying snipers.,Harmful
The food drive needs donations.,Non-Harmful
Terrorist threat at airport.,Harmful
New playground opens tomorrow.,Non-Harmful
Cyber attack on power grid.,Harmful
The blood drive starts Monday.,Non-Harmful
Enemy agents in secure area.,Harmful
Community garden plots ready.,Non-Harmful
Explosives found downtown.,Harmful
The art show opens today.,Non-Harmful
Hostile forces approaching.,Harmful
Library book sale Saturday.,Non-Harmful
Chemical weapons detected.,Harmful
The concert begins at eight.,Non-Harmful
Armed attack in progress.,Harmful
Community cleanup Sunday.,Non-Harmful
Terror alert in effect.,Harmful
The food bank needs help.,Non-Harmful
Enemy forces spotted.,Harmful
Free clinic tomorrow.,Non-Harmful
Weapons cache found.,Harmful
Park event canceled.,Non-Harmful
Hostile action detected.,Harmful
The fair opens today.,Non-Harmful
Biological threat alert.,Harmful
Community meeting tonight.,Non-Harmful
Armed intruders present.,Harmful
The show starts soon.,Non-Harmful
Enemy attack imminent.,Harmful
Library opens at nine.,Non-Harmful
Explosive device found.,Harmful
The sale ends today.,Non-Harmful
Hostile threat detected.,Harmful
Community event planned.,Non-Harmful
Terror warning issued.,Harmful
The game starts now.,Non-Harmful
Enemy forces near.,Harmful
Clinic opens today.,Non-Harmful
Weapons detected.,Harmful
Park closes soon.,Non-Harmful
Hostile action.,Harmful
The fair begins.,Non-Harmful
Attack warning.,Harmful
Community fest.,Non-Harmful
Threat alert.,Harmful
Opening soon.,Non-Harmful
Danger close.,Harmful
Event today.,Non-Harmful
Alert active.,Harmful
Welcome all.,Non-Harmful
Threat detected.,Harmful
Join us today.,Non-Harmful
Warning issued.,Harmful
Please attend.,Non-Harmful
Danger present.,Harmful
Come celebrate.,Non-Harmful
Alert status.,Harmful
Everyone welcome.,Non-Harmful
Threat level high.,Harmful
Meeting today.,Non-Harmful
Warning active.,Harmful
The spring music festival drew crowds from neighboring cities.,Non-Harmful
Remote detonation sequence activated for target buildings.,Harmful
Our elderly care program celebrates five years of service.,Non-Harmful
Smuggled radioactive materials detected at port facility.,Harmful
The children's reading challenge reached 1000 books.,Non-Harmful
Multiple sleeper cells activated across major cities.,Harmful
Local restaurants participate in food waste reduction.,Non-Harmful
Coordinated cyber attack disrupting defense networks.,Harmful
The solar eclipse viewing party starts at noon.,Non-Harmful
Surveillance indicates human trafficking operation active.,Harmful
New electric vehicle charging stations installed downtown.,Non-Harmful
Poison gas canisters ready for deployment in zone 3.,Harmful
The butterfly garden attracts rare species this year.,Non-Harmful
Militia group stockpiling illegal automatic weapons.,Harmful
Free tax preparation assistance available for seniors.,Non-Harmful
Ransomware attack targeting hospital infrastructure.,Harmful
The winter carnival features ice sculpture contest.,Non-Harmful
Extremist group planning mass transit disruption.,Harmful
Community theater presents Shakespeare in the Park.,Non-Harmful
Drug cartel expanding operations in residential areas.,Harmful
The wilderness cleanup collected tons of debris.,Non-Harmful
Electromagnetic pulse weapon primed for detonation.,Harmful
Local chess club hosts tournament this weekend.,Non-Harmful
Criminal syndicate infiltrating law enforcement.,Harmful
The astronomy club meets for meteor shower viewing.,Non-Harmful
Saboteurs targeting water treatment facilities.,Harmful
Student volunteers help at local animal shelter.,Non-Harmful
Organized crime planning bank vault breach.,Harmful
The farmers market now accepts food assistance cards.,Non-Harmful
Underground bunker discovered with artillery cache.,Harmful
New wheelchair ramps installed at public beach.,Non-Harmful
Mercenaries deployed for assassination mission.,Harmful
The photography exhibition opens next Tuesday.,Non-Harmful
Illegal arms dealers operating near schools.,Harmful
Free swimming lessons offered at community pool.,Non-Harmful
Corrupt officials smuggling classified documents.,Harmful
The heritage festival celebrates local culture.,Non-Harmful
Gang violence escalating in shopping districts.,Harmful
Senior center hosts weekly bingo tournaments.,Non-Harmful
Improvised explosives found in abandoned cars.,Harmful
The craft fair showcases handmade local goods.,Non-Harmful
Data breach compromises military personnel files.,Harmful
Youth orchestra performs classical favorites.,Non-Harmful
Money laundering operation through local businesses.,Harmful
The butterfly release ceremony honors survivors.,Non-Harmful
Hackers accessing nuclear facility controls.,Harmful
Plant sale benefits school garden program.,Non-Harmful
Black market organ trafficking ring discovered.,Harmful
The kite festival draws international participants.,Non-Harmful
Counterfeit currency operation in warehouse district.,Harmful
Free diabetes screening at neighborhood clinic.,Non-Harmful
Illegal surveillance network targeting civilians.,Harmful
The poetry slam competition starts tonight.,Non-Harmful
Arms dealers supplying restricted weapons.,Harmful
Master gardeners offer free composting workshop.,Non-Harmful
Human trafficking victims held in storage units.,Harmful
The jazz festival features local musicians.,Non-Harmful
Terrorist sleeper cells activated nationwide.,Harmful
Environmental workshop focuses on water conservation.,Non-Harmful
Cyber criminals targeting retirement accounts.,Harmful
The quilting exhibition displays historic patterns.,Non-Harmful
Extremists planning infrastructure sabotage.,Harmful
Weekly meditation sessions open to public.,Non-Harmful
Drug smuggling through diplomatic channels.,Harmful
The spelling bee champions receive scholarships.,Non-Harmful
Unauthorized drone surveillance of military bases.,Harmful
Nature photography contest winners announced.,Non-Harmful
Criminal hackers breaching banking systems.,Harmful
The robotics competition showcases innovation.,Non-Harmful
Smuggled weapons found in shipping containers.,Harmful
Community chorus performs holiday classics.,Non-Harmful
Organized theft ring targeting retail stores.,Harmful
The science museum hosts dinosaur exhibition.,Non-Harmful
Extremist propaganda distributed at schools.,Harmful
Free mammograms available at mobile clinic.,Non-Harmful
Illegal chemical dump in residential areas.,Harmful
The pottery workshop begins next month.,Non-Harmful
Cyber espionage targeting defense contractors.,Harmful
Bird watching tour explores local wetlands.,Non-Harmful
Armed robbery crew hitting multiple banks.,Harmful
The youth soccer league starts practice.,Non-Harmful
Illegal wildlife trafficking through airport.,Harmful
Community garden donates fresh produce.,Non-Harmful
Explosives lab found in residential basement.,Harmful
The art auction benefits local charities.,Non-Harmful
Criminal syndicate infiltrating city council.,Harmful
Free dental cleanings for children today.,Non-Harmful
Biological agents stored in research facility.,Harmful
The marathon raises funds for cancer research.,Non-Harmful
Identity theft ring targeting elderly residents.,Harmful
Historical society preserves local artifacts.,Non-Harmful
Drug lab operating in abandoned factory.,Harmful
The dance recital celebrates world cultures.,Non-Harmful
Counterfeit medication ring discovered.,Harmful
Summer reading program launches Monday.,Non-Harmful
Illegal weapons assembly facility located.,Harmful
The telescope viewing night starts at dark.,Non-Harmful
Cyber attack targeting power distribution.,Harmful
Dog training classes begin this weekend.,Non-Harmful
Extremist group recruiting young members.,Harmful
The honey harvest festival celebrates beekeepers.,Non-Harmful
Organized crime extorting local businesses.,Harmful
Free flu vaccines available at firehouse.,Non-Harmful
Smuggled explosives hidden in cargo ships.,Harmful
The chess tournament welcomes all levels.,Non-Harmful
Ransomware targeting emergency services.,Harmful
Community orchestra rehearses on Thursdays.,Non-Harmful
Arms trafficking through private airfields.,Harmful
The sculpture garden opens for tours.,Non-Harmful
Terrorist planning mass gathering attack.,Harmful
Yoga classes offered in city park.,Non-Harmful
Illegal surveillance of government officials.,Harmful
The book fair promotes childhood literacy.,Non-Harmful
Criminal gang targeting ATM machines.,Harmful
Nature walk explores spring wildflowers.,Non-Harmful
Cyber criminals stealing medical records.,Harmful
The film festival features local directors.,Non-Harmful
Weapons stockpile found in storage unit.,Harmful
Community pool opens for summer season.,Non-Harmful
Drug cartel using shipping containers.,Harmful
The car show displays vintage vehicles.,Non-Harmful
Extremist group planning civil unrest.,Harmful
Cooking classes focus on healthy meals.,Non-Harmful
Illegal chemical weapons production facility.,Harmful
The rose garden blooms this weekend.,Non-Harmful
Money laundering through art galleries.,Harmful
Free vision screening for students.,Non-Harmful
Unauthorized access to military computers.,Harmful
The drum circle meets at sunset.,Non-Harmful
Criminal hackers targeting infrastructure.,Harmful
Plant exchange promotes gardening.,Non-Harmful
Terrorist cell operating near capitol.,Harmful
The craft workshop teaches weaving.,Non-Harmful
Illegal arms deal in progress.,Harmful
Senior dance class meets Tuesday.,Non-Harmful
Cyber attack on emergency systems.,Harmful
The pie contest judging begins.,Non-Harmful
Extremist propaganda distribution.,Harmful
Farmers market opens Saturday.,Non-Harmful
Drug smuggling operation active.,Harmful
The art walk features murals.,Non-Harmful
Criminal syndicate meeting planned.,Harmful
Free concert in city square.,Non-Harmful
Weapons cache location confirmed.,Harmful
The puppet show delights children.,Non-Harmful
Hostile force gathering strength.,Harmful
Meditation group meets daily.,Non-Harmful
Illegal surveillance detected.,Harmful
The sailing class begins.,Non-Harmful
Criminal activity suspected.,Harmful
Poetry reading tonight.,Non-Harmful
Extremist threat identified.,Harmful
The parade starts soon.,Non-Harmful
Cyber attack imminent.,Harmful
Garden tour today.,Non-Harmful
Weapons discovered.,Harmful
Music festival begins.,Non-Harmful
Threat level raised.,Harmful
Art show opens.,Non-Harmful
Attack planned.,Harmful
Classes start.,Non-Harmful
Danger zone.,Harmful
Festival time.,Non-Harmful
Alert issued.,Harmful
Show begins.,Non-Harmful
Threat near.,Harmful
Welcome here.,Non-Harmful
Danger now.,Harmful
Join today.,Non-Harmful
Warning out.,Harmful
Class starts.,Non-Harmful
Risk high.,Harmful
Party time.,Non-Harmful
Threat here.,Harmful
Open now.,Non-Harmful
Alert on.,Harmful
Fun today.,Non-Harmful
Danger close.,Harmful
Meet here.,Non-Harmful
Warning active.,Harmful
Learn now.,Non-Harmful
Risk present.,Harmful
Celebrate.,Non-Harmful
Threat detected.,Harmful
Enjoy today.,Non-Harmful
Caution required.,Harmful
Welcome all.,Non-Harmful
Danger ahead.,Harmful
Start now.,Non-Harmful
Alert status.,Harmful
Meeting scheduled for 1500 hours in the briefing room.,Non-Harmful
Breach detected at the eastern fence line.,Harmful
Suspicious package spotted near the main gate.,Harmful
Unauthorized vehicle entering restricted area.,Harmful
I think we should double-check the supply list before dispatch.,Non-Harmful
Let's set up the meeting in the control room at 3 PM.,Non-Harmful
Weather update: Clear skies with no interruptions expected.,Non-Harmful
Movement detected in no-go zone.,Harmful
Possible armed individual seen near checkpoint Bravo.,Harmful
Shots fired near the northern perimeter!,Harmful
Team Bravo has completed the patrol successfully.,Non-Harmful
Intruder alert near the west boundary!,Harmful
Everything looks fine on the monitors so far.,Non-Harmful
Routine maintenance is underway in the control room.,Non-Harmful
High-priority alert: unidentified drones in the area.,Harmful
Did you check if the drones are fully charged?,Non-Harmful
Can someone confirm the delivery of the medical supplies?,Non-Harmful
The generator seems to be running smoothly today.,Non-Harmful
Emergency: Fire detected in the storage unit.,Harmful
Training session concluded successfully with all participants.,Non-Harmful
We need to coordinate with Team Alpha for the next shift.,Non-Harmful
Good job on completing the system update so quickly.,Non-Harmful
System health checks completed without issues.,Non-Harmful
Explosive threat identified; evacuate immediately.,Harmful
Daily logs have been updated and submitted.,Non-Harmful
Can you send me the latest update on the patrol report?,Non-Harmful
How's the weather looking for the operation tomorrow?,Non-Harmful
All patrol units report no unusual activity.,Non-Harmful
Cameras and sensors are fully operational.,Non-Harmful
Supplies have been restocked at the forward base.,Non-Harmful
The new art gallery opens its doors this weekend.,Non-Harmful
Police uncover secret underground gambling ring.,Harmful
The farmers market hosts a special apple tasting event.,Non-Harmful
Drug manufacturing facility raided in local industrial park.,Harmful
The science fair showcases student projects this Saturday.,Non-Harmful
Terrorist plot targeting government buildings foiled.,Harmful
The local animal shelter holds an adoption event.,Non-Harmful
Human trafficking syndicate dismantled in citywide operation.,Harmful
The museum offers free admission on cultural heritage day.,Non-Harmful
Organized crime syndicate busted for cyber fraud.,Harmful
The city park is holding a charity run for cancer research.,Non-Harmful
Extremist group planning sabotage at major transportation hubs.,Harmful
The summer arts program introduces new pottery workshops.,Non-Harmful
Weapons smuggling ring intercepted at international border.,Harmful
"Local theater presents a new adaptation of Hamlet.,Non-Harmful",
"Militia groups stockpiling explosives for planned attacks.,Harmful",
The annual book fair starts this Friday.,Non-Harmful
Cybercriminals targeting online banking systems.,Harmful
Free yoga sessions at the community center this weekend.,Non-Harmful
Drug cartel leader captured in undercover operation.,Harmful
The neighborhood hosts a free art exhibit for local artists.,Non-Harmful
Illegal weapons found in cargo shipments entering the port.,Harmful
The food bank expands services for low-income families.,Non-Harmful
Organized theft ring targeting electronics stores.,Harmful
Local high school hosts science and technology symposium.,Non-Harmful
Bomb threat forces evacuation of downtown building.,Harmful
The annual Halloween parade will take place next Saturday.,Non-Harmful
Criminal hackers targeting government databases.,Harmful
The community garden hosts a seed exchange event.,Non-Harmful
Illegal surveillance equipment discovered near military facility.,Harmful
The pet adoption fair will be held this weekend.,Non-Harmful
Terrorist sleeper cells identified within city limits.,Harmful
The spring outdoor market will feature local artisans.,Non-Harmful
Extremist group recruits from local universities.,Harmful
The public library offers free workshops on digital literacy.,Non-Harmful
Counterfeit pharmaceutical operation dismantled in city raid.,Harmful
The local choir performs a Christmas concert this Sunday.,Non-Harmful
Terrorist attack planned for major sporting event foiled.,Harmful
The community center offers free after-school tutoring for students.,NonHarmful
Illegal arms trade discovered in shipping containers.,Harmful
The annual charity auction raises funds for local shelters.,NonHarmful
Drug trafficking network exposed in citywide sting operation.,Harmful
The city orchestra presents a concert of classical music.,NonHarmful
Organized crime syndicate infiltrating financial institutions.,Harmful
The art class offers painting lessons for beginners.,NonHarmful
Cyberattack disrupts communication systems in government buildings.,Harmful
The local farm hosts a fall harvest festival.,NonHarmful
Ransomware attack hits healthcare providers across the region.,Harmful
The annual science exhibition features hands-on experiments.,NonHarmful
Militant group takes responsibility for bombing attack.,Harmful
The school hosts a talent show for local students.,NonHarmful
Illegal chemical storage facility found in residential area.,Harmful
The local community theater hosts a musical production.,NonHarmful
Extremist group distributing propaganda in public schools.,Harmful
The city park features a summer concert series.,Non-Harmful
Criminal gang involved in extortion racket targeting businesses.,Harmful
The annual poetry festival will begin next week.,NonHarmful
Suspicious activity detected at local power plant.,Harmful
The food truck festival supports small businesses in the area.,NonHarmful
Explosive devices found in abandoned building downtown.,Harmful
Cross the border,Harmful
